"Acad Org","Class Nbr","Subj","CRS","Session","Cmp","Sctn","Days","Start Time","End Time","Mtg Start Date","Mtg End Date","Duration","Instruction Mode","Campus","Loctn","Building","Room","Instr","Status","Enrl Cap","Enrl Tot","Wait Cap","Wait Tot","Cmbnd ID","Cmbnd Descr","Cmbnd Enrl Tot","Cmbnd Enrl Cap"
"COMPSCI","91494","CSE"," 114","A","LAB",="L01","MW","08:30 AM","09:50 AM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2129","Paul Fodor; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","     30","      0","     10","      0"," "," "," "," "
"COMPSCI","89326","CSE"," 114","A","LAB",="L02","MW","02:40 PM","04:00 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2129","Paul Fodor; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","     30","      0","     10","      0"," "," "," "," "
"COMPSCI","89327","CSE"," 114","A","LAB",="L03","MW","04:25 PM","05:45 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2129","Paul Fodor; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","     30","      0","     10","      0"," "," "," "," "
"COMPSCI","89328","CSE"," 114","A","LAB",="L04","MW","06:05 PM","07:25 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2129","Paul Fodor; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","     30","      0","     10","      0"," "," "," "," "
"COMPSCI","90974","CSE"," 114","A","LEC",="02","MW","04:25 PM","05:45 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Praveen Tripathi; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","    120","      0","     40","      0"," "," "," "," "
"COMPSCI","91495","CSE"," 114","A","LAB",="L05","TUTH","06:30 PM","07:50 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2129","Praveen Tripathi; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","     30","      0","     10","      0"," "," "," "," "
"COMPSCI","90814","CSE"," 114","A","LAB",="L06","TUTH","09:45 AM","11:05 AM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2129","Praveen Tripathi; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","     30","      0","     10","      0"," "," "," "," "
"COMPSCI","90870","CSE"," 114","A","LAB",="L07","TUTH","04:45 PM","06:05 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2129","Praveen Tripathi; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","     30","      0","     10","      0"," "," "," "," "
"COMPSCI","91037","CSE"," 114","A","LAB",="L08","TUTH","01:15 PM","02:35 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2129","Praveen Tripathi; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA; TBA","A","     30","      0","     10","      0"," "," "," "," "
"COMPSCI","94731","CSE"," 114","A","LEC",="50","MW","02:00 PM","03:20 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","IAP","TBA",="TBA","Antonino Mione","A","      1","      0","      0","      0"," "," "," "," "
"COMPSCI","94730","CSE"," 114","A","LAB",="L50","TUTH","02:00 PM","03:20 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","IAP","TBA",="TBA","Antonino Mione","A","      1","      0","      0","      0"," "," "," "," "
"COMPSCI","91632","CSE"," 150","A","LEC",="01","TUTH","03:00 PM","04:20 PM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","R. Sekar","A","     40","      0","     10","      0"," "," "," "," "
"COMPSCI","91631","CSE"," 150","A","REC",="R01","RETU","04:45 PM","05:40 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","TBA",="TBA","R. Sekar","A","     20","      0","      5","      0"," "," "," "," "
"COMPSCI","94776","CSE"," 150","A","REC",="R02","RETU","04:45 PM","05:40 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","TBA",="TBA","R. Sekar","A","     20","      0","      5","      0"," "," "," "," "
"COMPSCI","89216","CSE"," 214","A","LEC",="01","TUTH","08:00 AM","09:20 AM","23-AUG-2021","16-DEC-2021","   80","In Person","WEST","WESTCAMPUS","TBA",="TBA","Ahmad Esmaili","A","    140","      0","     36","      0"," "," "," "," "
"COMPSCI","89217","CSE"," 214","A","REC",="R01","RECM","02:40 PM","03:35 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2114","Ahmad Esmaili","A","     35","      0","      9","      0"," "," "," "," "
"COMPSCI","89218","CSE"," 214","A","REC",="R02","RECW","04:25 PM","05:20 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2114","Ahmad Esmaili","A","     35","      0","      9","      0"," "," "," "," "
"COMPSCI","89219","CSE"," 214","A","REC",="R03","RECM","04:25 PM","05:20 PM","23-AUG-2021","16-DEC-2021","   55","In Person","WEST","WESTCAMPUS","COMPUTER SCI",="2114","Ahmad Esmaili","A","     35","      0","      9","      0"," "," "," "," "
